number,value,datetime_start,datetime_complete,duration,params_activation,params_and_operator,params_batch_size,params_lr,params_n_sets,params_seq_length,params_shape,state
133,1.5220441818237305,2025-07-13 16:15:07.795470,2025-07-13 16:15:39.666705,0 days 00:00:31.871235,relu,min,32,0.008805414568020309,7,11,gaussian,COMPLETE
134,0.026830483227968216,2025-07-13 16:15:39.667360,2025-07-13 16:16:10.125601,0 days 00:00:30.458241,relu,min,32,0.0068581284454215545,7,12,gaussian,COMPLETE
135,0.01611972600221634,2025-07-13 16:16:10.126216,2025-07-13 16:16:42.446999,0 days 00:00:32.320783,relu,prod,32,0.005746632591230307,7,10,gaussian,COMPLETE
136,0.008375884965062141,2025-07-13 16:16:42.447628,2025-07-13 16:17:15.832716,0 days 00:00:33.385088,relu,min,32,0.007991132999041039,7,9,bell,COMPLETE
137,0.0003807235334534198,2025-07-13 16:17:15.833193,2025-07-13 16:17:46.745032,0 days 00:00:30.911839,relu,min,32,0.009296591401840157,8,8,gaussian,COMPLETE
138,0.0004377347941044718,2025-07-13 16:17:46.745681,2025-07-13 16:18:17.714051,0 days 00:00:30.968370,relu,min,32,0.009392001906650313,8,8,gaussian,COMPLETE
139,0.0011111163767054677,2025-07-13 16:18:17.714703,2025-07-13 16:18:48.693609,0 days 00:00:30.978906,relu,min,32,0.009948639276796446,8,8,gaussian,COMPLETE
140,0.003837820142507553,2025-07-13 16:18:48.694209,2025-07-13 16:19:19.656071,0 days 00:00:30.961862,relu,min,32,0.009857110561290643,8,8,gaussian,COMPLETE
141,0.022619379684329033,2025-07-13 16:19:19.656735,2025-07-13 16:19:50.459941,0 days 00:00:30.803206,relu,min,32,0.007681196055449992,8,8,gaussian,COMPLETE
142,0.06692573428153992,2025-07-13 16:19:50.460424,2025-07-13 16:20:20.683303,0 days 00:00:30.222879,relu,min,32,0.009140978480310815,8,6,gaussian,COMPLETE
143,0.3699120581150055,2025-07-13 16:20:20.683939,2025-07-13 16:20:51.522832,0 days 00:00:30.838893,relu,min,32,0.007021117143116148,8,8,gaussian,COMPLETE
144,0.00038077373756095767,2025-07-13 16:20:51.523353,2025-07-13 16:21:21.998411,0 days 00:00:30.475058,relu,min,32,0.008354254978278464,8,7,gaussian,COMPLETE
145,0.024190519005060196,2025-07-13 16:21:21.998974,2025-07-13 16:21:32.696311,0 days 00:00:10.697337,relu,min,128,0.009995167653265089,8,7,gaussian,COMPLETE
146,0.47915276885032654,2025-07-13 16:21:32.696740,2025-07-13 16:22:02.900879,0 days 00:00:30.204139,relu,min,32,0.008732387807879098,8,6,gaussian,COMPLETE
147,0.276333749294281,2025-07-13 16:22:02.901502,2025-07-13 16:22:33.327314,0 days 00:00:30.425812,relu,min,32,0.00814046014586467,8,7,gaussian,COMPLETE
148,1.388340711593628,2025-07-13 16:22:33.327786,2025-07-13 16:23:03.742023,0 days 00:00:30.414237,relu,min,32,0.008209016377770217,8,7,gaussian,COMPLETE
149,0.07107773423194885,2025-07-13 16:23:03.742635,2025-07-13 16:23:20.619135,0 days 00:00:16.876500,relu,min,64,0.006098384178661351,8,5,gaussian,COMPLETE
150,0.020978176966309547,2025-07-13 16:23:20.619604,2025-07-13 16:23:51.554086,0 days 00:00:30.934482,relu,min,32,0.007444564725416475,8,8,gaussian,COMPLETE
151,0.1849633902311325,2025-07-13 16:23:51.554704,2025-07-13 16:24:22.505684,0 days 00:00:30.950980,relu,min,32,0.0066035733013397,8,8,gaussian,COMPLETE
